-1,-1
-1,-1
879,680
888,780
885,606
1127,265
773,558
974,728
1062,349
762,709
1090,408
680,622
974,556
986,654
880,746
727,711
-1,-1
1175,490
1285,645
1337,445
-1,-1
750,389
383,114
1087,131
145,11
756,158
862,134
-1,-1
997,915
943,801
1106,866
1035,946
1017,857
1035,889
1194,701
976,843
1090,760
1015,807
1005,783
1283,972
-1,-1
578,859
1300,1082
412,1037
837,845
870,1054
723,814
362,940
836,826
460,932
-1,-1
648,583
587,713
358,501
424,469
678,524
498,469
